country_code,Gold Medal,Silver Medal,Bronze Medal,Total
CHN,21,18,14,53
USA,20,30,28,78
AUS,13,11,8,32
FRA,12,16,18,46
GBR,12,13,17,42
KOR,11,8,7,26
JPN,10,5,11,26
ITA,9,10,7,26
NED,7,6,4,17
GER,7,4,4,15
CAN,5,4,8,17
NZL,3,5,1,9
HUN,3,3,2,8
SWE,3,3,2,8
ROU,3,3,1,7
IRL,3,0,3,6
BRA,2,4,5,11
UKR,2,2,3,7
CRO,2,1,2,5
BEL,2,0,3,5
HKG,2,0,2,4
AZE,2,0,0,2
PHI,2,0,0,2
SRB,2,0,0,2
ISR,1,4,1,6
ESP,1,3,5,9
AIN,1,3,0,4
GEO,1,2,1,4
SUI,1,1,4,6
KAZ,1,1,2,4
RSA,1,1,2,4
DEN,1,1,0,2
TPE,1,0,3,4
UZB,1,0,2,3
CZE,1,0,1,2
GUA,1,0,1,2
KEN,1,0,1,2
ALG,1,0,0,1
ARG,1,0,0,1
CHI,1,0,0,1
DMA,1,0,0,1
ECU,1,0,0,1
LCA,1,0,0,1
SLO,1,0,0,1
UGA,1,0,0,1
JAM,0,2,1,3
MEX,0,2,1,3
PRK,0,2,1,3
ETH,0,2,0,2
GRE,0,1,5,6
POL,0,1,3,4
KOS,0,1,1,2
TUR,0,1,1,2
ARM,0,1,0,1
COL,0,1,0,1
FIJ,0,1,0,1
MGL,0,1,0,1
THA,0,1,0,1
TUN,0,1,0,1
IND,0,0,3,3
TJK,0,0,3,3
DOM,0,0,2,2
LTU,0,0,2,2
MAS,0,0,2,2
MDA,0,0,2,2
AUT,0,0,1,1
CPV,0,0,1,1
CUB,0,0,1,1
EGY,0,0,1,1
POR,0,0,1,1
SVK,0,0,1,1
